Date,Region,Product,Share
202002,Santa Cruz Provincias,paceña pilsener 620cc ret x156 fut,0.55
202002,Cochabamba Ciudad,paceña pilsener 473cc lat x24,0.55
202002,Santa Cruz Provincias,paceña pilsener 620cc ret x156 fut,0.53
202002,Sucre,paceña pilsener 473cc lat x24,0.49
202002,Santa Cruz Ciudad,ducal 354cc lat x24 imp,0.48
202002,Trinidad,paceña pilsener 710cc ret x12 si,0.48
202002,Santa Cruz Ciudad,baltica 350cc lat x24,0.47
202002,Sucre,huari pilsener 620cc ret x12,0.47
202002,Cochabamba Ciudad,imperial 620cc ret x12,0.43
202002,Santa Cruz Ciudad Norte,huari pilsener 620cc ret x12,0.43
202002,Cochabamba Ciudad,paceña pilsener 473cc lat x24,0.39
202003,La Paz Ciudad,imperial 620cc ret x12,0.07
202003,El Alto Ciudad,imperial 620cc ret x12,0.34
202003,El Alto Provincias,imperial 620cc ret x12,1.49
202003,Santa Cruz Ciudad,imperial 620cc ret x12,0.04
202003,Santa Cruz Ciudad,imperial 620cc ret x12,0.35
202003,Santa Cruz Ciudad Norte,imperial 620cc ret x12,0.01
202003,Santa Cruz Ciudad Norte,imperial 620cc ret x12,0.11
202003,Santa Cruz Provincias,imperial 620cc ret x12,0.16
202003,Cochabamba Ciudad,imperial 620cc ret x12,0
202003,Cochabamba Ciudad,imperial 620cc ret x12,0.63
202003,Cochabamba Provincias,imperial 620cc ret x12,0.18
202003,Trinidad,imperial 620cc ret x12,0.01
202003,Sucre,imperial 620cc ret x12,0.01
202003,Potosi,imperial 620cc ret x12,0
202003,Oruro Ciudad,imperial 620cc ret x12,0
202003,Oruro Ciudad,imperial 620cc ret x12,0.04
202003,Oruro Provincias,imperial 620cc ret x12,0.01
202004,Santa Cruz Ciudad,imperial 620cc ret x12,0.01
202004,Cochabamba Ciudad,imperial 620cc ret x12,0.02
202004,Oruro Ciudad,imperial 620cc ret x12,0
202005,La Paz Ciudad,imperial 620cc ret x12,0.02
202005,El Alto Ciudad,imperial 620cc ret x12,0.17
202005,El Alto Provincias,imperial 620cc ret x12,0.5
202005,Santa Cruz Ciudad,imperial 620cc ret x12,0
202005,Santa Cruz Ciudad,imperial 620cc ret x12,0.03
202005,Santa Cruz Ciudad Norte,imperial 620cc ret x12,0
202005,Santa Cruz Provincias,imperial 620cc ret x12,0.08
202005,Cochabamba Ciudad,imperial 620cc ret x12,0.04
202005,Cochabamba Ciudad,imperial 620cc ret x12,0.17
202005,Cochabamba Provincias,imperial 620cc ret x12,0.26
202005,Trinidad,imperial 620cc ret x12,0
202005,Oruro Ciudad,imperial 620cc ret x12,0
202002,Santa Cruz Provincias,baltica 350cc lat x24,0.39
202002,Cochabamba Ciudad,paceña pilsener 354cc lat x24 si,0.39
202002,Tarija,imperial 1l ret x12,0.38
202002,Santa Cruz Ciudad Norte,ducal 354cc lat x24 imp,0.37
202003,Yacuiba,imperial 1l ret x12,0.01
202003,Sucre,imperial 1l ret x12,0.01
202003,Tarija,imperial 1l ret x12,0
202003,Tarija,imperial 1l ret x12,0.02
202003,Tarija,imperial 1l ret x12,0.31
202004,Yacuiba,imperial 1l ret x12,0.01
202004,Tarija,imperial 1l ret x12,0.75
202005,Yacuiba,imperial 1l ret x12,0
202005,Yacuiba,imperial 1l ret x12,0.01
202005,Tarija,imperial 1l ret x12,0.01
202005,Tarija,imperial 1l ret x12,0.02
202005,Tarija,imperial 1l ret x12,0.56
202002,Riberalta,brahma 354cc lat x24,0.36
202002,Oruro Provincias,paceña pilsener 354cc lat x24 si,0.36
202002,Pando,paceña tropical 620cc ret x156,0.35
202002,Cochabamba Provincias,paceña pilsener 620cc ret x156 fut,0.34
202002,Santa Cruz Ciudad,ducal 620cc ret x12,0.33
202002,El Alto Ciudad,huari pilsener 620cc ret x12,0.32
202002,Riberalta,paceña tropical 620cc ret x156,0.32
202002,Cochabamba Ciudad,imperial 350cc lat x24,0.32
202002,La Paz Ciudad,paceña pilsener 473cc lat x24,0.31
202002,Potosi,huari pilsener 620cc ret x12,0.31
202002,Oruro Provincias,paceña pilsener 620cc ret x156 fut,0.3
202002,El Alto Provincias,huari pilsener 620cc ret x12,0.3
202002,El Alto Provincias,paceña pilsener 354cc lat x24 si,0.3
202002,Cochabamba Provincias,taquiña export 620cc ret x156,0.3
202002,Santa Cruz Provincias,paceña ice 354cc lat x24,0.3
202003,Santa Cruz Ciudad,imperial 350cc lat x24,0.01
202003,Santa Cruz Ciudad,imperial 350cc lat x24,0.04
202003,Santa Cruz Ciudad Norte,imperial 350cc lat x24,0.01
202003,Santa Cruz Provincias,imperial 350cc lat x24,0
202003,Santa Cruz Provincias,imperial 350cc lat x24,0.07
202003,Cochabamba Ciudad,imperial 350cc lat x24,0.03
202003,Cochabamba Ciudad,imperial 350cc lat x24,0.29
202003,Cochabamba Ciudad,imperial 350cc lat x24,0.55
202003,Cochabamba Provincias,imperial 350cc lat x24,0.11
202003,Trinidad,imperial 350cc lat x24,0.04
202003,Pando,imperial 350cc lat x24,0.02
202003,Potosi,imperial 350cc lat x24,0
202003,Potosi,imperial 350cc lat x24,0.02
202003,Tarija,imperial 350cc lat x24,0
202003,Tarija,imperial 350cc lat x24,0.01
202003,Oruro Ciudad,imperial 350cc lat x24,0
202003,Oruro Ciudad,imperial 350cc lat x24,0
202003,Oruro Provincias,imperial 350cc lat x24,0.01
202004,Santa Cruz Ciudad,imperial 350cc lat x24,0.01
202004,Santa Cruz Ciudad Norte,imperial 350cc lat x24,0.03
202004,Cochabamba Ciudad,imperial 350cc lat x24,4.27
202004,Cochabamba Provincias,imperial 350cc lat x24,0.22
202004,Potosi,imperial 350cc lat x24,0
202004,Tarija,imperial 350cc lat x24,0.01
202004,Oruro Ciudad,imperial 350cc lat x24,0
202004,Oruro Ciudad,imperial 350cc lat x24,0.06
202005,Santa Cruz Ciudad,imperial 350cc lat x24,0.01
202005,Santa Cruz Ciudad,imperial 350cc lat x24,0.01
202005,Santa Cruz Ciudad Norte,imperial 350cc lat x24,0.01
202005,Cochabamba Ciudad,imperial 350cc lat x24,0.05
202005,Cochabamba Ciudad,imperial 350cc lat x24,0.06
202005,Cochabamba Ciudad,imperial 350cc lat x24,1.71
202005,Cochabamba Provincias,imperial 350cc lat x24,0.18
202005,Trinidad,imperial 350cc lat x24,0.01
202005,Riberalta,imperial 350cc lat x24,0.03
202005,Sucre,imperial 350cc lat x24,0
202005,Sucre,imperial 350cc lat x24,0.01
202005,Potosi,imperial 350cc lat x24,0
202005,Tarija,imperial 350cc lat x24,0
202005,Oruro Ciudad,imperial 350cc lat x24,0
202005,Oruro Ciudad,imperial 350cc lat x24,0.01
202005,Oruro Provincias,imperial 350cc lat x24,0
202002,Potosi,paceña pilsener 1l ret x12 si,0.28
202002,Oruro Provincias,paceña pilsener 354cc lat x24 si,0.28
202002,Santa Cruz Ciudad,paceña pilsener 354cc lat x24 si,0.28
202003,La Paz Ciudad,taquiña verde 620cc ret x12,0.2
202003,El Alto Ciudad,taquiña verde 620cc ret x12,0.33
202003,El Alto Provincias,taquiña verde 620cc ret x12,1.07
202005,El Alto Ciudad,taquiña verde 620cc ret x12,0.46
202005,El Alto Provincias,taquiña verde 620cc ret x12,0.09
202004,La Paz Ciudad,stella artois 335cc ow 4x6,0
202004,Oruro Ciudad,stella artois 335cc ow 4x6,0
202005,La Paz Ciudad,stella artois 335cc ow 4x6,0.01
202005,La Paz Ciudad,stella artois 335cc ow 4x6,0.02
202005,Santa Cruz Ciudad,stella artois 335cc ow 4x6,0.1
202005,Santa Cruz Ciudad Norte,stella artois 335cc ow 4x6,0
202005,Santa Cruz Ciudad Norte,stella artois 335cc ow 4x6,0.04
202005,Santa Cruz Provincias,stella artois 335cc ow 4x6,0
202005,Oruro Ciudad,stella artois 335cc ow 4x6,0
202002,Santa Cruz Ciudad,baltica 350cc lat x24,0.27
202002,Tarija,paceña pilsener 473cc lat x24,0.26
202002,Yacuiba,brahma fronteras ret 1l x 12,0.26
202002,Santa Cruz Ciudad,paceña pilsener 620cc ret x156 fut,0.26
202002,Santa Cruz Provincias,ducal 354cc lat x24 imp,0.26
202002,El Alto Provincias,paceña pilsener 354cc lat x24 si,0.25
202002,Cochabamba Ciudad,maltin 473cc lat x24,0.25
202002,Potosi,paceña pilsener 354cc lat x24 si,0.25
202002,Yacuiba,ducal 354cc lat x24 imp,0.24
202002,Oruro Ciudad,paceña pilsener 354cc lat x24 si,0.24
202002,Oruro Ciudad,huari pilsener 354cc lat x24,0.24
202002,Cochabamba Provincias,imperial 620cc ret x12,0.24
202002,Santa Cruz Provincias,maltin 473cc lat x24,0.23
202002,Cochabamba Provincias,taquiña export 1l ret x12,0.23
202002,Yacuiba,paceña pilsener 354cc lat x24 si,0.23
202002,Santa Cruz Ciudad Norte,baltica 350cc lat x24,0.23
202002,Trinidad,brahma 354cc lat x24,0.23
202002,Trinidad,brahma 354cc lat x24,0.22
202002,Yacuiba,paceña pilsener 354cc lat x24 si,0.22
202002,El Alto Ciudad,taquiña verde 620cc ret x12,0.22
202002,Potosi,paceña pilsener 473cc lat x24,0.22
202002,Santa Cruz Ciudad,paceña ice 354cc lat x24,0.21
202003,Santa Cruz Ciudad,baltica 350cc lat x24,0.06
202003,Santa Cruz Ciudad,baltica 350cc lat x24,0.51
202003,Santa Cruz Ciudad,baltica 350cc lat x24,0.88
202003,Santa Cruz Ciudad Norte,baltica 350cc lat x24,0.29
202003,Santa Cruz Ciudad Norte,baltica 350cc lat x24,0.41
202003,Santa Cruz Provincias,baltica 350cc lat x24,0.3
202003,Santa Cruz Provincias,baltica 350cc lat x24,0.62
202003,Cochabamba Ciudad,baltica 350cc lat x24,0.02
202003,Cochabamba Ciudad,baltica 350cc lat x24,0.15
202003,Cochabamba Ciudad,baltica 350cc lat x24,0.97
202003,Cochabamba Provincias,baltica 350cc lat x24,0.19
202003,Trinidad,baltica 350cc lat x24,0.14
202003,Trinidad,baltica 350cc lat x24,0.15
202003,Pando,baltica 350cc lat x24,0.03
202003,Yacuiba,baltica 350cc lat x24,0.16
202003,Potosi,baltica 350cc lat x24,0.03
202003,Tarija,baltica 350cc lat x24,0
202003,Tarija,baltica 350cc lat x24,0.01
202003,Oruro Ciudad,baltica 350cc lat x24,0
202003,Oruro Ciudad,baltica 350cc lat x24,0.01
202003,Oruro Ciudad,baltica 350cc lat x24,0.01
202003,Oruro Provincias,baltica 350cc lat x24,0.06
202004,Santa Cruz Ciudad,baltica 350cc lat x24,0.16
202004,Santa Cruz Ciudad,baltica 350cc lat x24,7.06
202004,Santa Cruz Ciudad Norte,baltica 350cc lat x24,0
202004,Santa Cruz Ciudad Norte,baltica 350cc lat x24,3.17
202004,Cochabamba Ciudad,baltica 350cc lat x24,0.01
202004,Cochabamba Provincias,baltica 350cc lat x24,0.62
202004,Yacuiba,baltica 350cc lat x24,0
202004,Tarija,baltica 350cc lat x24,0.01
202004,Oruro Ciudad,baltica 350cc lat x24,0
202004,Oruro Ciudad,baltica 350cc lat x24,0.02
202004,Oruro Ciudad,baltica 350cc lat x24,0.06
202004,Oruro Provincias,baltica 350cc lat x24,0.04
202005,Santa Cruz Ciudad,baltica 350cc lat x24,1.61
202005,Santa Cruz Ciudad,baltica 350cc lat x24,3.21
202005,Santa Cruz Ciudad Norte,baltica 350cc lat x24,0.15
202005,Santa Cruz Ciudad Norte,baltica 350cc lat x24,1.74
202005,Santa Cruz Provincias,baltica 350cc lat x24,0.02
202005,Santa Cruz Provincias,baltica 350cc lat x24,1.08
202005,Cochabamba Ciudad,baltica 350cc lat x24,0.14
202005,Cochabamba Ciudad,baltica 350cc lat x24,4.92
202005,Cochabamba Provincias,baltica 350cc lat x24,0.38
202005,Trinidad,baltica 350cc lat x24,0.07
202005,Riberalta,baltica 350cc lat x24,0.12
202005,Yacuiba,baltica 350cc lat x24,0
202005,Potosi,baltica 350cc lat x24,0.01
202005,Tarija,baltica 350cc lat x24,0.01
202005,Oruro Ciudad,baltica 350cc lat x24,0
202005,Oruro Ciudad,baltica 350cc lat x24,0.01
202005,Oruro Ciudad,baltica 350cc lat x24,0.02
202005,Oruro Provincias,baltica 350cc lat x24,0.14
202002,Oruro Ciudad,paceña pilsener 354cc lat x24 si,0.2
202002,Cochabamba Provincias,paceña pilsener 473cc lat x24,0.2
202002,Cochabamba Ciudad,paceña pilsener 354cc lat x24 si,0.2
202002,Santa Cruz Ciudad,imperial 620cc ret x12,0.18
202002,Santa Cruz Ciudad,maltin 473cc lat x24,0.18
202002,Cochabamba Ciudad,imperial 350cc lat x24,0.17
202002,El Alto Ciudad,imperial 620cc ret x12,0.17
202002,La Paz Ciudad,paceña pilsener 354cc lat x24 si,0.17
202002,Cochabamba Provincias,paceña pilsener 354cc lat x24 si,0.17
202002,Trinidad,paceña pilsener 354cc lat x24 si,0.17
202002,Santa Cruz Ciudad Norte,ducal 620cc ret x12,0.16
202002,Santa Cruz Ciudad Norte,maltin 473cc lat x24,0.16
202002,Oruro Ciudad,paceña pilsener 354cc lat x24 si,0.15
202002,Santa Cruz Provincias,paceña pilsener 354cc lat x24 si,0.15
202002,La Paz Ciudad,paceña pilsener 473cc lat x24,0.15
202002,Riberalta,baltica 350cc lat x24,0.15
202002,Cochabamba Ciudad,paceña pilsener 620cc ret x156 fut,0.15
202002,Santa Cruz Ciudad Norte,ducal 620cc ret x12,0.15
202003,La Paz Ciudad,maltin 620cc ret x12,0.02
202003,La Paz Ciudad,maltin 620cc ret x12,0.03
202003,El Alto Ciudad,maltin 620cc ret x12,0.05
202003,El Alto Ciudad,maltin 620cc ret x12,0.22
202003,El Alto Provincias,maltin 620cc ret x12,0.2
202003,Santa Cruz Ciudad,maltin 620cc ret x12,0.03
202003,Santa Cruz Ciudad,maltin 620cc ret x12,0.03
202003,Santa Cruz Ciudad Norte,maltin 620cc ret x12,0.02
202003,Santa Cruz Ciudad Norte,maltin 620cc ret x12,0.02
202003,Santa Cruz Provincias,maltin 620cc ret x12,0.01
202003,Cochabamba Ciudad,maltin 620cc ret x12,0
202003,Cochabamba Ciudad,maltin 620cc ret x12,0.08
202003,Cochabamba Provincias,maltin 620cc ret x12,0.02
202003,Trinidad,maltin 620cc ret x12,0
202003,Yacuiba,maltin 620cc ret x12,0.01
202003,Sucre,maltin 620cc ret x12,0.01
202003,Potosi,maltin 620cc ret x12,0.01
202003,Tarija,maltin 620cc ret x12,0
202003,Tarija,maltin 620cc ret x12,0.01
202003,Oruro Ciudad,maltin 620cc ret x12,0.02
202003,Oruro Ciudad,maltin 620cc ret x12,0.04
202003,Oruro Provincias,maltin 620cc ret x12,0.02
202004,La Paz Ciudad,maltin 620cc ret x12,0.18
202004,El Alto Ciudad,maltin 620cc ret x12,0.26
202004,El Alto Ciudad,maltin 620cc ret x12,0.81
202004,El Alto Provincias,maltin 620cc ret x12,0.27
202004,Santa Cruz Ciudad,maltin 620cc ret x12,0.1
202004,Santa Cruz Ciudad Norte,maltin 620cc ret x12,0.03
202004,Cochabamba Ciudad,maltin 620cc ret x12,0.07
202004,Trinidad,maltin 620cc ret x12,0
202004,Yacuiba,maltin 620cc ret x12,0
202004,Sucre,maltin 620cc ret x12,0.02
202004,Potosi,maltin 620cc ret x12,0.01
202004,Tarija,maltin 620cc ret x12,0.01
202004,Oruro Ciudad,maltin 620cc ret x12,0.04
202004,Oruro Ciudad,maltin 620cc ret x12,0.15
202005,La Paz Ciudad,maltin 620cc ret x12,0.02
202005,La Paz Ciudad,maltin 620cc ret x12,0.07
202005,El Alto Ciudad,maltin 620cc ret x12,0.26
202005,El Alto Ciudad,maltin 620cc ret x12,0.4
202005,El Alto Provincias,maltin 620cc ret x12,0.25
202005,Santa Cruz Ciudad,maltin 620cc ret x12,0
202005,Santa Cruz Ciudad,maltin 620cc ret x12,0.02
202005,Santa Cruz Ciudad Norte,maltin 620cc ret x12,0.01
202005,Cochabamba Ciudad,maltin 620cc ret x12,0
202005,Cochabamba Ciudad,maltin 620cc ret x12,0.03
202005,Cochabamba Provincias,maltin 620cc ret x12,0.02
202005,Trinidad,maltin 620cc ret x12,0
202005,Yacuiba,maltin 620cc ret x12,0
202005,Sucre,maltin 620cc ret x12,0
202005,Potosi,maltin 620cc ret x12,0
202005,Tarija,maltin 620cc ret x12,0
202005,Oruro Ciudad,maltin 620cc ret x12,0.01
202005,Oruro Ciudad,maltin 620cc ret x12,0.02
202002,La Paz Ciudad,paceña pilsener 354cc lat x24 si,0.14
202002,Santa Cruz Ciudad,paceña pilsener 620cc ret x156 fut,0.14
202002,La Paz Ciudad,huari pilsener 620cc ret x12,0.14
202002,Santa Cruz Ciudad Norte,maltin 350cc ow x24,0.14
202002,Cochabamba Ciudad,paceña pilsener 354cc lat x24 si,0.14
202002,Yacuiba,ducal 354cc lat x24 imp,0.14
202002,Trinidad,huari pilsener 620cc ret x12,0.14
202002,Trinidad,paceña pilsener 354cc lat x24 si,0.14
202002,Cochabamba Provincias,maltin 473cc lat x24,0.13
202003,La Paz Ciudad,maltin 350cc ow x24,0.07
202003,El Alto Ciudad,maltin 350cc ow x24,0.07
202003,Santa Cruz Ciudad Norte,maltin 350cc ow x24,0.13
202003,Cochabamba Ciudad,maltin 350cc ow x24,0.1
202003,Riberalta,maltin 350cc ow x24,0.01
202003,Sucre,maltin 350cc ow x24,0.03
202003,Potosi,maltin 350cc ow x24,0.02
202003,Tarija,maltin 350cc ow x24,0.02
202003,Oruro Ciudad,maltin 350cc ow x24,0.06
202004,Riberalta,maltin 350cc ow x24,0.04
202004,Potosi,maltin 350cc ow x24,0.07
202004,Tarija,maltin 350cc ow x24,0.25
202005,La Paz Ciudad,maltin 350cc ow x24,0.02
202005,Santa Cruz Ciudad Norte,maltin 350cc ow x24,0.12
202005,Cochabamba Ciudad,maltin 350cc ow x24,0.01
202005,Riberalta,maltin 350cc ow x24,0.02
202002,Sucre,paceña pilsener 354cc lat x24 si,0.13
202002,El Alto Provincias,maltin 473cc lat x24,0.13
202002,Santa Cruz Ciudad,maltin 473cc lat x24,0.13
202002,Santa Cruz Ciudad Norte,baltica 350cc lat x24,0.13
202002,Santa Cruz Provincias,ducal 620cc ret x12,0.12
202002,La Paz Ciudad,maltin 473cc lat x24,0.12
202002,El Alto Ciudad,paceña pilsener 473cc lat x24,0.12
202002,Santa Cruz Ciudad Norte,corona balde ow 355 2x5,0.12
202002,Tarija,paceña pilsener 1l ret x12 si,0.12
202002,Santa Cruz Ciudad Norte,paceña pilsener 620cc ret x156 fut,0.12
202002,Oruro Ciudad,paceña pilsener 620cc ret x156 fut,0.12
202002,La Paz Ciudad,taquiña verde 620cc ret x12,0.12
202002,Oruro Ciudad,huari pilsener 354cc lat x24,0.12
202002,Cochabamba Ciudad,corona balde ow 355 2x5,0.12
202002,Santa Cruz Provincias,paceña ice 354cc lat x24,0.11
202002,Cochabamba Ciudad,taquiña export 710cc ret x12,0.11
202002,Santa Cruz Provincias,baltica 350cc lat x24,0.11
202002,Tarija,baltica 473cc lat x24,0.11
202002,La Paz Ciudad,paceña tropical 620cc ret x156,0.11
202002,Santa Cruz Ciudad Norte,huari pilsener 354cc lat x24,0.1
202002,Santa Cruz Ciudad,paceña pilsener 354cc lat x24 si,0.1
202003,La Paz Ciudad,paceña pilsener 620cc ret x156 fut,4.5
202003,El Alto Ciudad,paceña pilsener 620cc ret x156 fut,7.84
202003,El Alto Provincias,paceña pilsener 620cc ret x156 fut,7.02
202003,Santa Cruz Ciudad,paceña pilsener 620cc ret x156 fut,0
202003,Santa Cruz Ciudad,paceña pilsener 620cc ret x156 fut,0.01
202003,Santa Cruz Ciudad,paceña pilsener 620cc ret x156 fut,0.2
202003,Santa Cruz Ciudad Norte,paceña pilsener 620cc ret x156 fut,0.01
202003,Santa Cruz Ciudad Norte,paceña pilsener 620cc ret x156 fut,0.33
202003,Santa Cruz Provincias,paceña pilsener 620cc ret x156 fut,0.02
202003,Santa Cruz Provincias,paceña pilsener 620cc ret x156 fut,0.57
202003,Cochabamba Ciudad,paceña pilsener 620cc ret x156 fut,0
202003,Cochabamba Ciudad,paceña pilsener 620cc ret x156 fut,0.14
202003,Cochabamba Provincias,paceña pilsener 620cc ret x156 fut,0.39
202003,Trinidad,paceña pilsener 620cc ret x156 fut,0.03
202003,Trinidad,paceña pilsener 620cc ret x156 fut,0.08
202003,Yacuiba,paceña pilsener 620cc ret x156 fut,0.02
202003,Yacuiba,paceña pilsener 620cc ret x156 fut,0.1
202003,Sucre,paceña pilsener 620cc ret x156 fut,0.02
